date,open,high,low,close,volume,amount
2024-04-19 00:00:00,566.30,567.54,565.80,566.96,2059,50589
2024-04-19 01:00:00,566.92,568.50,566.38,568.34,1083,50656
2024-04-19 02:00:00,568.34,568.68,567.06,567.72,685,50662
2024-04-19 09:30:00,567.72,571.10,566.12,570.96,4848,50753
2024-04-19 10:45:00,570.98,577.92,570.84,572.36,10109,51531
2024-04-19 13:45:00,572.36,575.42,567.80,568.34,5051,52161
2024-04-19 14:45:00,568.30,569.06,567.36,568.54,5308,53389
2024-04-19 15:00:00,568.54,570.68,568.22,570.64,1132,53573
2024-04-19 22:00:00,568.38,569.86,566.12,567.90,6111,53371
2024-04-19 23:00:00,567.96,570.34,567.80,570.04,3030,53406
2024-04-20 01:00:00,570.18,571.70,569.16,571.50,1100,53333
2024-04-20 02:00:00,571.62,572.44,569.64,570.12,1711,53358
2024-04-20 09:30:00,570.12,570.96,569.92,570.94,218,53349
2024-04-22 00:00:00,570.04,570.96,569.18,570.18,1970,53339
2024-04-22 09:30:00,568.80,569.26,567.36,567.62,3120,53510
2024-04-22 10:45:00,567.62,567.68,566.34,566.72,2363,53602
2024-04-22 13:45:00,566.72,566.98,561.54,561.64,6657,54417
2024-04-22 14:45:00,561.60,563.76,561.60,562.00,6291,55381
2024-04-22 15:00:00,562.00,562.00,559.90,560.56,2413,55494
2024-04-22 22:00:00,556.40,558.26,555.32,557.26,8875,55357
2024-04-22 23:00:00,557.26,558.26,556.32,557.80,2737,55238
2024-04-23 00:00:00,557.80,557.82,556.08,556.46,1644,55145
2024-04-23 01:00:00,556.46,556.92,555.36,555.66,1296,55049
2024-04-23 02:00:00,555.66,556.64,555.66,555.88,587,54978
2024-04-23 09:30:00,555.88,557.20,554.48,555.94,2320,54887
2024-04-23 10:45:00,555.94,555.94,546.14,549.14,6403,54793
2024-04-23 13:45:00,549.14,549.92,546.50,548.14,6164,56003
2024-04-23 14:45:00,548.18,549.18,546.92,546.96,7719,57910
2024-04-23 15:00:00,546.96,547.84,546.94,547.24,1245,58231
2024-04-23 22:00:00,549.12,554.24,548.40,553.90,8514,58445
2024-04-23 23:00:00,554.00,554.58,550.30,552.24,7175,58484
2024-04-24 00:00:00,552.24,553.42,551.34,552.90,2764,59035
2024-04-24 01:00:00,552.90,555.00,552.58,554.84,1282,59157
2024-04-24 02:00:00,554.84,554.84,553.56,553.90,491,59157
2024-04-24 09:30:00,553.90,554.78,551.66,553.16,3307,59852
2024-04-24 10:45:00,553.10,553.14,550.78,551.78,3342,60844
2024-04-24 13:45:00,551.78,554.48,551.58,553.98,3594,61527
2024-04-24 14:45:00,553.90,555.04,553.18,553.72,4172,62690
2024-04-24 15:00:00,553.72,553.96,553.34,553.88,891,62868
2024-04-24 22:00:00,553.50,554.24,552.10,552.72,6231,62990
2024-04-24 23:00:00,552.72,555.32,552.30,555.00,2637,63084
2024-04-25 00:00:00,555.00,557.24,554.04,554.20,3231,62976
2024-04-25 01:00:00,554.20,555.08,553.92,554.76,751,62967
2024-04-25 02:00:00,554.76,556.00,554.12,554.78,399,62958
2024-04-25 09:30:00,554.78,554.78,552.32,553.06,2007,63020
2024-04-25 10:45:00,553.06,553.48,552.22,553.28,2620,63561
2024-04-25 13:45:00,553.28,553.40,549.60,552.10,5242,64466
2024-04-25 14:45:00,552.10,553.38,552.08,553.00,6211,65630
2024-04-25 15:00:00,553.00,553.94,552.76,553.78,1176,65600
2024-04-25 22:00:00,555.48,555.64,551.30,553.06,6776,65938
2024-04-25 23:00:00,553.06,557.44,552.20,555.50,5112,66150
2024-04-26 00:00:00,555.50,556.26,554.30,554.88,1960,66180
2024-04-26 01:00:00,554.88,555.50,553.64,554.32,822,66175
2024-04-26 02:00:00,554.32,554.92,553.68,554.92,334,66136
2024-04-26 09:30:00,554.92,555.70,553.80,554.58,1506,66253
2024-04-26 10:45:00,554.58,556.00,554.58,555.66,2812,66467
2024-04-26 13:45:00,555.66,556.64,555.22,555.98,2557,66300
2024-04-26 14:45:00,556.26,558.00,556.18,557.76,4121,66603
2024-04-26 15:00:00,557.76,558.48,557.50,558.02,896,66495
2024-04-26 22:00:00,559.00,560.50,557.16,558.54,5284,66175
2024-04-26 23:00:00,558.54,559.26,555.80,556.58,3280,66227
2024-04-27 01:00:00,557.54,558.34,556.48,557.14,917,66213
2024-04-27 02:00:00,557.14,558.34,556.74,557.94,546,66163
2024-04-27 09:30:00,557.90,558.72,557.72,558.72,294,66116
2024-04-29 00:00:00,556.72,557.96,556.28,557.54,1539,66232
2024-04-29 09:30:00,556.40,556.40,554.22,555.80,4079,66732
2024-04-29 10:45:00,555.80,556.28,554.50,555.16,3583,67071
2024-04-29 13:45:00,555.16,555.78,553.94,554.96,1737,66924
2024-04-29 14:45:00,554.98,555.30,554.38,554.48,2535,66794
2024-04-29 15:00:00,554.48,554.90,554.38,554.78,882,67089
